,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
116,602,616,eb-8.4,kapajagulmah,kaphajagulmaḥ,कफजगुल्मः,,"the disorder is characterized by śītajvaraḥ/śiśirajvaraḥ [fever with chills], arōcakaḥ/annāruciḥ [tastelessness], avipākaḥ [indigestion], aṅgamardaḥ [generalised bodyache], aṅgaharṣaḥ [horripilation], hr̥̄drōgaḥ [disease of heart], chardiḥ [vomiting], nidrā [sleep], ālasyam [lethargy], staimityam [a sensation of being covered with wet clothes], gauravam [heaviness], śirōऽbhitāpaḥ [burning sensation in head], gulmasya sthiratvam [stable gulma], gulmasya gauravam [heavy gulma], gulmasya kāṭhinyam [hardness], gulmasya avagāḍhatvam [deepened], gulmasya suptatā [numb/immobile], kāsaḥ (atipravr̥ddhaḥ) [cough (severe)], śvāsaḥ (atipravr̥ddhaḥ) [severe breathlessness/difficult breathing], pratiśyāyaḥ (atipravr̥ddhaḥ) [cold, catarrh ( severe)], rājayakṣmā (atipravr̥ddhaḥ) [fulminant rājayakṣmā (tuberculosis)], tvak-śvaityam [whitish discolouration of skin], nayana-śvaityam [whitish discolouration of eyes], vadana-śvaityam [whitish discolouration of face], mūtra-śvaityam [light /whitish coloured urine], purīṣa-śvaityam [light /whitish coloured stool], aṅgasādaḥ/gātrasādaḥ [exhaustion or tirednes to body /inability to perform physical activities], prasēkaḥ [excessive salivation], madhurāsyatā [sweet taste in mouth], kaphasya liṅgāni [signs of kapha], pīnasaḥ [cold, catarrh], hr̥llāsaḥ [nausea], śaityam [coldness], alparuk [mild pain], gulmasya unnatatvam [elevated gulma]",,ITA-5.37.4,"Lumps or growths
due to vitiated kapha","A disorder characterized by some or all the following signs
and symptoms: fever with chills; loss of taste; indigestion;
generalized body aches; horripilation; heart disease; vomiting;
sleep; lethargy; sensation of being covered with a wet cloth;
heaviness; burning sensation in head; stable gulma; heavy
gulma; hardness deepening; numb/immobile; cough (severe);
severe breathlessness/difficulty in breathing; cold catarrh
(severe); fulminant rājayakṣmā; whitish discoloration of skin;
whitish discoloration of eyes; whitish discoloration of face;
light/whitish-coloured urine; light/whitish-coloured stool; bodily
exhaustion or tiredness/inability to perform physical activities;
excessive salivation; sweet taste in mouth; signs of kapha;
cold catarrh; nausea; coldness; mild pain; raised gulma.",kaphajagulmaḥ,्कफजगुलमः
117,603,617,eb-8.5,raktajagulmah,raktajagulmaḥ,रक्तजगुल्मः,,"the disorder is characterized by ārtavarōdhaḥ [stoppage/supression of menstrual flow], kukṣi abhivardhanam (uparuddha ārtavēna) [increase in size of abdomen (due to supression of menstruation)], śūlaḥ [colicky pain in the abdomen], kāsaḥ [cough], atisāraḥ [diarrhoea], chardiḥ [vomiting], arōcakaḥ [tastelessness], avipākaḥ [indigestion], aṁgamardaḥ [generalized bodyache], nidrā [sleep], ālasyam [lethargy], stimityam [feeling as if covered with wet cloth], kaphaprasēkaḥ [salivation], stanyapravr̥ttiḥ/stanyadarśanam [expression of breast milk], ōṣṭha kārṣṇyam [blackish lips], stanamaṇḍalakārṣṇyam [blackish breast areola], cakṣuṣaḥ atyarthaṁ glāniḥ [severe fatigue of eyes], mūrcchā [syncope/attacks of swooning], hr̥llāsaḥ [nausea], dōhadaḥ [having longing desire/desire found in pregnant lady], pādaśvayathuḥ [pedal oedma], rōmarājyāḥ īṣadudgamaḥ [slight appearance of abdominal striae/striae gravidarum], yōnyāḥ āṭalatvam [dilatation of yōni (vagina)], yōni daurgandhyam [bad odour of yōni], yōnisrāvaḥ [discharge from yōni (vagina)], piṇḍita iva spandatē gulmaḥ [pulsating lump/quickening], pittagulmasamānaliṁgam [signs of pitta gulma], na spandatē (gulmaḥ) [no pulsation], na udaravr̥ddhiḥ [no abdominal enlargment], garbhiṇīliṁgāni/garbhaliṁgaḥ [signs of pregnancy], dauhr̥daḥ [having longing desire/desire found in pregnant lady], kṣāmatā adhikam [more weak/debilitated], stambhaḥ [rigidity/stiffness], dāhaḥ [burning sensation], atisāraḥ [diarrhoea], garbhāśayē sutarāṁ śūlam [pain in garbhaśaya], gulmaḥ cirēṇa saśūlaṁ spandatē [delayed pulsation with pain]",,ITA-5.37.5,"Lumps or growths
due to vitiated rakta","A disorder characterized by some or all the following signs
and symptoms: stoppage/obstruction of menstrual flow;
increased size of abdomen due to obstruction of menstrual
flow; colicky pain in abdomen; cough; diarrhoea; vomiting;
loss of taste; indigestion; generalized body aches; sleep;
lethargy; feeling as if covered with wet cloth; salivation;
expression of breast milk; blackish lips; blackish breast
areola; severe fatigue of eyes; syncope or swooning; nausea;
pedal oedema; mild abdominal striae/striae gravidarum;
dilatation of vagina; bad odour of vagina; discharge from
vagina; pulsating lump/quickening; signs of pitta gulma; no
pulsation; no abdominal enlargement; signs of pregnancy;
imperious desire/desire of pregnant woman; weaker/more
debilitated; rigidity/stiffness; burning sensation; diarrhoea;
pain in uterus; delayed pulsation with pain.",raktajagulmaḥ,ि्तजगुलमः
118,605,619,eb-8.7,dvandvajagulmah,dvandvajagulmaḥ,द्वन्द्वजगुल्मः,,the disorder is characterized by saṁsr̥ṣṭalakṣaṇaḥ [clinical features of mixed dōṣa],,ITA-5.37.7,"Lumps or growths
due to any two
vitiated dosha","A disorder characterized by the clinical features of
mixed dosha.",dvandvajagulmaḥ,विनविजगुलमः
119,614,628,sm38(eb-9),pravahika,pravāhikā,प्रवाहिका,,"it is characterised by frequent passage of stools which may be associated with blood or mucus, tenesmus. this may be explained by: (a)increased vatadosha pushing the accumulated kaphadosha downwards through the intestinal tract.",,ITA-5.8.1,Dysentery,"A disorder characterized by some or all the following signs
and symptoms: strained defecation, stools mixed with blood;
thirst; colicky pain in abdomen; internal burning sensation;
proctitis; fever; burning sensation.",pravāhikā,प्रर्ावि्का
120,619,633,sm33(eb-10),sulah,śūlaḥ,शूलः,,"it is characterised by pain in abdomen, burning sensation, distension and flatulence. this may be explained by: (a) vitiated dosha especially vatadosha affecting the abdominal organs.",,ITA-5.34.1,Abdominal colic,"A disorder characterized by pain in abdomen; painful
expiration; afflicted with pain; severe pain as if pierced
by a nail.",śūlaḥ,शूलः
121,620,634,eb-10.1,vatajasulah,vātajaśūlaḥ,वातजशूलः,,"the disorder is characterized by tīvraśūlaḥ (nirāhārasya) [severe pain on empty stomach], prastabdhagātratā [severe stiffness of body], kr̥cchrōcchvāsaḥ [difficulty in breathing], kr̥cchrēṇa vātapravr̥ttiḥ [difficulty in passing flatus], kr̥cchrēṇa mūtrapravr̥ttiḥ [difficulty in micturition], kr̥cchrēṇa purīṣapravr̥ttiḥ [difficulty in defecation], hr̥dayaśūlaḥ [pain in the pericordial region], pārśvaśūlaḥ [pain in sides of chest/flanks], pr̥ṣṭhaśūlaḥ [pain in back], trikaśūlaḥ [pain in the sacral region], basti-śūlaḥ [pain in basti/urinary bladder], jīrṇē śūlaḥ [pain occurs after food has been digested], pradōṣē śūlaḥ [pain during twilights], ghanāgamē śūlaḥ [pain during cloudy weather], śītē śūlaḥ [pain when it is cold], muhurmuhu prakōpaḥ (śūlaḥ) [exacerbationn of pain again and again], muhurmuhuścōpaśamaḥ (śūlaḥ) [remission of pain again and again], viṭ-saṁstambhanam [retension of faeces], vāta-saṁstambhanam [retension of flatus], tōdaḥ [pricking pain], bhēdaḥ [breaking type of pain], saṁsvēdanēna śamaṁ prayāti (śūlaḥ) [pain relieved by svēdana (sudation)], abhyañjanēna śamaṁ prayāti(śūlaḥ) [pain relieved by snēhana (inunction)], mardanēna śamaṁ prayāti (śūlaḥ) [pain relieved by massage/rubbing], snigdhabhōjyaiḥ śamaṁ prayāti (śūlaḥ) [pain relieved by unctuous food], uṣṇabhōjyaiḥ śamaṁ prayāti (śūlaḥ) [pain relieved by hot food]",,ITA-5.34.2,"Abdominal colic due
to vitiated vāta","A disorder characterized by some or all the following signs
and symptoms: severe pain on empty stomach; severe
stiffness of body; difficulty in breathing; difficulty in passing
flatus; difficulty in micturition; difficulty in defecation; pain in
precordial region; pain in sides of chest/flanks; pain in back;
pain in sacral region; pain in urinary bladder or basti; pain
occurs after digestion of food; pain during twilights; pain
during cloudy weather; pain when it is cold; recurrent
exacerbation of pain; recurrent remission of pain; retention of
faeces; retention of flatus; pricking type of pain; breaking type
of pain; pain relieved by sudation; pain relieved by oleation;
pain relieved by massage/rubbing; pain relieved by unctuous
food; pain relieved by hot food.",vātajaśūlaḥ,र्ातजशूलः
122,621,635,eb-10.2,pittajasulah,pittajaśūlaḥ,पित्तजशूलः,,"the disorder is characterized by tr̥ṣṇā/tr̥ṭ [thirst], dāhaḥ [burning sensation], madaḥ [intoxication], mūrcchā [syncope/attacks of swooning], tīvrasūlaḥ [severe pain (colic)], śītābhikāmatā [desire for cold], śītēna śāmyati (śūlaḥ) [pain decreases with cold], mōhaḥ [confusion/delirium], ārtiḥ nābhyām [pain in umbilical region], saṁsvēdaḥ [perspiration], bhramaḥ [giddiness or dizziness], cōṣaḥ [sucking type of pain], madhyandinē kupyati (śūlaḥ) [pain gets exacerbated at noon], ardharātrē kupyati (śūlaḥ) [pain gets exacerbated at midnight], vidāhakālē kupyati (śūlaḥ) [pain gets exacerbated at the time of digestion of food], jaladātyayē kupyati (śūlaḥ) [pain gets exacerbated in autumn/śarat r̥tu], śītaiḥ samupaiti śāntiṁ (śūlaḥ) [relieved during cold season], susvādu bhōjanai samupaiti śāntiṁ (śūlaḥ) [relieved during sweet food], śītairapi bhōjanai samupaiti śāntiṁ (śūlaḥ) [relieved during cold food]",,ITA-5.34.3,"Abdominal colic due
to vitiated pitta","A disorder characterized by some or all the following signs
and symptoms: thirst; burning sensation; intoxication;
syncope or swooning; severe pain; desire for cold; pain
decreasing with cold; confusion/delirium; pain in umbilical
region; perspiration; giddiness or dizziness; sucking type of
pain; pain exacerbated at noon; pain exacerbated at midnight;
pain exacerbated when digesting food; pain exacerbated in
autumn/śarat ṛtu; relieved during cold season; relieved with
sweet food; relieved with cold food.",pittajaśūlaḥ,वप्तजशूलः
123,622,636,eb-10.3,kapajasulah,kaphajaśūlaḥ,कफजशूलः,,"the disorder is characterized by hr̥llāsaḥ [nausea], atipūrṇakōṣṭhatā [severe fullness of abdomen], gurugātratā [heaviness of body], kāsaḥ [cough], sadanam [exhaustion], aruciḥ [tastelessness], prasēkaḥ [excessive salivation], āmāśayē stimitatā [stillness of stomach, feels as if amaśaya wrapped with wet cloth], kōṣṭhagurutā [heavyness of abdomen], śirōgurutā [heavyness of head], bhuktē kupyati (śūlaḥ) [pain increases on eating], sūryōdayē kupyati (śūlaḥ) [pain increases at sunrise], śiśirē kupyati (śūlaḥ) [pain increases in śiśira r̥tu], kusumāgamē kupyati (śūlaḥ) [pain increases in spring]",,ITA-5.34.4,"Abdominal colic due
to vitiated kapha","A disorder characterized by some or all the following signs and
symptoms: nausea; severe abdominal fullness; heaviness of
body; cough; exhaustion; loss of taste; excessive salivation;
stillness of stomach as if amaśaya wrapped in a wet cloth;
heaviness of abdomen; heaviness of head; pain increasing on
eating; pain increasing at sunrise; pain increasing in śiśira ṛtu;
pain increasing in spring.",kaphajaśūlaḥ,्कफजशूलः
124,623,637,eb-10.4,sannipatikasulah,sānnipātikaśūlaḥ,सान्निपातिकशूलः,,the disorder is characterized by sarvāṇi rūpāṇi [clinical features of all types of dōṣain śūla],,ITA-5.34.5,"Abdominal colic due
to vitiated tridosha","A disorder characterized by clinical features of all types of
doṣa in śūla.",sānnipātikaśūlaḥ,सावनिपावत्कशूलः
125,624,638,eb-10.5,amasulah,āmaśūlaḥ,आमशूलः,,"the disorder is characterized by āṭōpaḥ [gurgling sound of the intestines/barborygmus], hr̥llāsaḥ [nausea], vamiḥ [vomiting], gurutvam [heaviness], staimityam [a sensation of being covered with wet clothes], ānāhaḥ [barborygmus with distention], kaphaprasēkaḥ [excessive salivation], kaphasya liṅgēna samānaliṅgam [features of kaphaja śula]",,ITA-5.34.6,"Abdominal colic
due to āma","A disorder characterized by some or all the following signs and
symptoms: gurgling intestinal sounds/borborygmi; nausea;
vomiting; heaviness; sensation of being wrapped in a wet cloth;
borborygmi with distension; excessive salivation; features of
kaphaja śula.",āmaśūlaḥ,आमशूलः
126,626,640,eb-10.7,dvandvajasulah,dvandvajaśūlaḥ,द्वन्द्वजशूलः,,,,ITA-5.34.7,"Abdominal colic due
to any two vitiated
dosha",,dvandvajaśūlaḥ,विनविजशूलः
127,627,641,sm3f(eb-10.8),vatapaittikasulah,vātapaittikaśūlaḥ,वातपैत्तिकशूलः,,"it is characterised by severe pain on empty stomach, heartburn, epigastric pain, thirst, may be associated with nausea, vomiting, giddiness, constipation. this may be explained by: (a) impairement of digestive and metabolic factors, vitated vata, pitta and kapha.",,ITA-5.34.8,"Abdominal colic due
to vitiated vāta and
pitta predominance",A disorder characterized by a burning sensation; fever.,vātapaittikaśūlaḥ,र्ातपैव्त्कशूलः
128,633,647,sm3e(eb-10.11),annadravasulah,annadravaśūlaḥ,अन्नद्रवशूलः,,"it is characterised by epigastric pain before and after food intake may be asociated with excessive salivary secretion, headache, , sweating, frequent belching with sour or foul smell, nausea, vomiting, stomatitis, diarrhoea. this may be explained by: (a) impairement of digestive and metabolic factors, vitated vata, pitta.",,ITA-5.34.13,"Persistent, continuous
abdominal pain","A disorder characterized by some or all the following signs
and symptoms: pain occurring before food has been digested;
pain occurring after food has been digested; pain not
subsiding despite consuming food; pain not subsiding on an
empty stomach.",annadravaśūlaḥ,अनिद्रर्शूलः
129,642,656,sm35(eb-11),udavartah,udāvartaḥ,उदावर्तः,,"it is characterised by retention of feces, non passing of flatus, urine, severe abdominal pain. this may be explained by: (a) severe vitiation of vata leading to impaired function of stomach and intestines.",,ITA-5.35.1,"Disorders of reversed
or altered visceral
movement","A disorder characterized by some or all the following signs
and symptoms: retention of faeces; retention of flatus or vata;
obstruction to passage of urine/retention; pain in bladder;
precordial pain/cardiac pain; pain in abdomen/lumbar-
hypogastric region; pain in sides of chest/flanks; abdominal
distension; nausea; cutting type of pain in anal region;
pricking pain; indigestion; oedema in urinary bladder region;
constipation; lump/nodule in abdomen; upward movement of
eructations or vata; painful or hurt anus; painful ejaculation;
delayed ejaculation; body becoming harsh/rough; becoming
dry; becoming cold; fever; dysuria; dysentery; heart diseases;
disorders of lower gastrointestinal tract; vomiting; blindness;
deafness/hearing impairment; burning sensation in head;
bloating of abdomen; hypertrophy of prostate gland; mental
disorders/diseases of manas; thirst; bleeding disorders; loss
of taste; palpable glandular enlargement in abdomen/
abdominal lump; cough; breathlessness/difficulty in breathing;
cold catarrh; facial paralysis; pain in sides of chest/flanks;
dreadful diseases of vāta.",udāvartaḥ,उदार्तवाः
130,644,658,eb-11.2,vatanigrahaja-udavartah,vātanigrahaja-udāvartaḥ,वातनिग्रहज-उदावर्तः,,"the disorder is characterized by ādhmānam/dhmānam [abdominal distension], śūlaḥ [colicky pain in the abdomen], hr̥dayōparōdhaḥ [feeling of obstruction in the precordial region/impairment of cardiac activity- bradycardia], śirōrujā [headache], śvāsam [breathlessness/difficult breathing], hikkā [hiccup], kāsaḥ [cough], kāsaḥ [cough], pratiśyāyaḥ [cold, catarrh], galagrahaḥ [choking sensation in throat], mukhataḥ purīṣakṣēpaḥ [expulsion of feces through mouth], vāta-saṅgaḥ [retention of vāyu/flatus], mūtra-saṅgaḥ [obstruction/retention in passage of urine], purīṣa-saṅgaḥ [obstruction/retention to the passage of faeces], klamaḥ [exhaustion without exertion], rujā [pain], jaṭharē vātajāścānyē rōgāḥ [various other vātika abdominal disease]",,ITA-5.35.2,"Disorders of reversed
or altered visceral
movement due to
suppression of vata","A disorder characterized by some or all the following signs
and symptoms: abdominal distension; colicky pain in
abdomen; feeling of obstruction in precordial region/
impairment of cardiac activity/bradycardia; headache;
breathlessness/difficulty in breathing; hiccups; cough; cold
catarrh; choking sensation in throat; expulsion of faeces
through mouth; retention of vata/flatus; obstruction to
passage of urine/retention; obstruction/retention in passage of
faeces; exhaustion without exertion; pain; various other
abdominal diseases or vātika.",vātanigrahaja-udāvartaḥ,र्ातविग्रिज-उदार्तवाः
131,651,665,eb-11.9,asrunigrahaja-udavartah,aśrunigrahaja-udāvartaḥ,अश्रुनिग्रहज-उदावर्तः,,"the disorder is characterized by śirōgurutvam [heavyness of head], tīvra-nayanāmayaḥ [severe diseases of the eye], pīnasaḥ [cold, catarrh]",,ITA-5.35.9,"Disorders of reversed
or altered visceral
movement due to
suppression of tears","A disorder characterized by heaviness of head; severe
diseases of the eye; cold catarrh.",aśrunigrahaja-udāvartaḥ,अश्रुविग्रिज-उदार्तवाः
132,667,681,sl61(ec-2),hrudrogah,hṛdrogaḥ,हृद्रोगः,,"it is characterised by chest pain, discomfort, palpitation, fatigue, dyspnoea, swelling and coldness of lower limbs. this may be explained by: (a) vitiated dosha affected primary product of digested food further affecting the heart.",,ITA-5.38.1,Heart disease,,hṛdrogaḥ,हृद्रोगः
133,809,823,sp11(ec-6),amavatah,āmavātaḥ,आमवातः,,"it is characterised by inflammation and pain of joints, fever with chills and rigors, involvement of other organs such as heart. this may be explained by: (a) increased vata associated with ama.",,ITA-5.32.1,"Polyarthitis due
to ama","A disorder characterized by some or all the following signs
and symptoms: generalized body aches; loss of taste; thirst;
lethargy; heaviness; fever; indigestion; oedema; heaviness of
heart region; weakness; stiffness of whole body. The condition
also describes rheumatic fever.",āmavātaḥ,आमर्ातः
134,810,824,ec-6.1,vatika-amavatah,vātika-āmavātaḥ,वातिक-आमवातः,,the disorder is characterized by saśūlam [asociated with pain],,ITA-5.32.2,"Vata-predominent
polyarthritis due
to ama",A disorder characterized by severe pain.,vātika-āmavātaḥ,र्ावत्क-आमर्ातः
135,811,825,ec-6.2,paittika-amavatah,paittika-āmavātaḥ,पैत्तिक-आमवातः,,"the disorder is characterized by sadāhaḥ [associated with burning sensation], rāgaḥ [redness/congestion]",,ITA-5.32.3,"Pitta-predominent
polyarthritis due
to ama","A disorder characterized by burning sensation; redness/
congestion.",paittika-āmavātaḥ,पैव्त्क-आमर्ातः
136,812,826,ec-6.3,kapaja-amavatah,kaphaja-āmavātaḥ,कफज-आमवातः,,"the disorder is characterized by stimitam [feeling as if covered with wet cloth], guruḥ [heaviness], kaṇḍūḥ [itching]",,ITA-5.32.4,"Kapha-predominant
polyarthritis due
to ama","A disorder characterized by the feeling of being covered with
a wet cloth; heaviness; itching.",kaphaja-āmavātaḥ,्कफज-आमर्ातः
137,817,831,sr51(ed-1),raktavahasrotodushtih,raktavahasrotoduṣṭiḥ,रक्तवहस्रोतोदुष्टिः,,"it is characterized by cyanosis, fever, burning sensation, pallor, haemorrhage and blood-red eyes. this may be explained by derangement of channels (functional or anatomical or both) carrying blood.",,ITA-5.5.6,"Vitiation of channels
carrying blood","A disorder characterized by some or all the following signs
and symptoms: skin afflictions, erysipelas, dysfunctional
uterine bleeding, inflammation of rectum, penis, mouth,
enlargement of spleen, moles, freckles, jaundice, ringworm,
leucoderma, papules, wheals.",raktavahasrotoduṣṭiḥ,ि्तर्िस्ोतोदवु ष्ः
138,840,874,sm41(ed-3),kamala,kāmalā,कामला,,"it is characterised by yellowish discoloration of skin, eyes, nails, urine and feces associated with loss of appetite, fatigue and bilous vomiting. this may be explained by: (a) weak digestive and metabolic factors, vitiation of pitta and blood affecting liver.",,ITA-5.15.1,Jaundice,"Excessive secretion of bile or obstruction to bile resulting
in jaundice.",kāmalā,्कामला
139,842,876,ed-3.2(sm41),kumbakamala,kumbhakāmalā,कुम्भकामला,,,,ITA-5.15.4,"Advanced stage of
jaundice with painful,
swollen joints","A disorder characterized by excessive swelling; breaking type
of pain in small joints; yellowish black stools, generalized
oedema, bloody face, eyes, blood mixed vomitus, urine,
tremors, burning sensation, excess thirst. constipation, loss of
consciousness, loss of digestive and metabolic capacity.",kumbhakāmalā,्कुमभ्कामला
140,856,890,ed-4.2.5(sn49),rushyajihvakah,ṛṣyajihvakaḥ,ऋष्यजिह्वकः,,,,ITA-5.59.5,"Skin disease with
lesions resembling
the tongue of an
antelope","A skin disease characterized by lesions resembling an
antelope tongue; rough/dry; slightly reddish-coloured;
blackish inside-out; bluish tinge; yellowish tinge; coppery
tinge; rapidly spreading; rapid onset; minimal itching; minimal
discharge from lesion; minimal infections/infestations;
excessive burning sensation; severe splitting type of pain;
excessive pricking pain; pain as if pierced with bristles; raised
mid-part of lesion; thin margins; covered with rough eruptions;
large circular patch; rough.",ṛṣyajihvakaḥ,ऋक्यवजहर््कः
141,858,892,sn4a(ed-4.2.7),sidhmah,sidhmaḥ,सिध्मः,,"it is characterised by roughening and hardening of part of skin, whitish scaling, less itching, dryness of skin. this may be explained by: (a) vitiated vatadosha and kapadosha affecting the skin.",,ITA-5.59.7,"Skin disease with
lesions resembling
bottle gourd flower","A skin disease characterized by lesions resembling bottle
gourd flowers; rough/dry; reddish in colour; broken/shattered;
thin outside; unctuous inside; whitish and reddish tinge;
numerous; mild pain; minimal itching; minimal burning
sensation; minimal pus discharge; reduced watery discharge;
light onset; fewer complications; fewer worms; dust on itching;
resembling daugdhika flowers; usually affecting upper
part of body.",sidhmaḥ,वसरमः
142,861,895,sn4b(ed-4.3.1),ekakushthah,ekakuṣṭhaḥ,एककुष्ठः,,"it is characterised by appearance of skin similar to scales of fish, roughness of skin, sloughing of skin, absence of sweating. this may be explained by: (a) vitiated vata and kapa dosha affecting the skin.",,ITA-5.59.9,"Skin disease with
lesions resembling
fish scales","A skin disease characterized by anhidrosis/lack of sweating;
broad-based; resembling the scales of a fish.",ekakuṣṭhaḥ,ए्क्कुष्ः
143,862,896,ed-4.3.2(sn5y),carmakushthah,carmakuṣṭhaḥ,चर्मकुष्ठः,,,,ITA-5.59.10,"Skin disease with
lesions resembling
elephant’s skin","A skin disease characterized by large lesions resembling an
elephant’s skin; rough to touch.",carmakuṣṭhaḥ,िमवा्कुष्ः
144,863,897,ed-4.3.3(sn4a),kitibah,kiṭibhaḥ,किटिभः,,,,ITA-5.59.11,"Skin disease with
rough-surfaced,
scar-like lesions","A skin disease characterized by bluish black-coloured lesions;
rough to touch; rough/dry; itching sensation; blackish
discoloration.",kiṭibhaḥ,क्करटभः
145,864,898,ed-4.3.4(sn9y),vipadika,vipādikā,विपादिका,,,,ITA-5.59.12,"Cracks in palms
and soles","A skin disease characterized by cracks in the skin of hands
and feet; severe pain; less itching; redness/congestion;
associated with eruptions.",vipādikā,वर्पाकद्का
146,866,900,sn4u(ed-4.3.6),dadru-kushthah,dadru-kuṣṭhaḥ,दद्रु-कुष्ठः,,"it is characterised by itching, roughness of skin, elevated ring shaped lesion with or without scaling, and blackish or reddish discoloration. this may be explained by: (a) vitiation of kapha.",,ITA-5.59.14,"Skin disease with
small, raised skin
lesions","A chronic skin disease characterized by lesions associated
with an itching sensation; reddish nodules; papules/eruptions;
raised ring-shaped plaque; spreading out; resembling Indian
doab grass; resembling flax flowers.",dadru-kuṣṭhaḥ,दद्र-ु ्कुष्ः
147,867,901,ed-4.3.7(sn5y),carmadala-kushthah,carmadala-kuṣṭhaḥ,चर्मदल-कुष्ठः,,,note: also classifed under #san@sonitajanyarogah#[ed-2],ITA-5.59.15,Exfoliation of skin,"A skin disease characterized by redness; itching; blister; pain;
putrefaction; tenderness/inability to tolerate touch; burning
sensation with sweating and restlessness; burning sensation.",carmadala-kuṣṭhaḥ,िमवादल-्कुष्ः
148,870,905,sn43 (ed-4.3.10),vicarcika,vicarcikā,विचर्चिका,,"it is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. this may be explained by: (a)vitiation of all the three dosha with a predominance of kaphadosha.",note: also classifed under #san@kshudrarogah#[o],ITA-5.59.19,"Skin disease with
excessive exudation","A skin disease characterized by itching; papules/eruptions;
blackish discoloration; excessive/copious discharge;
excessive watery discharge.",vicarcikā,वर्िरिवा्का
149,873,909,ed-4.4.1,tvaggatakushthah,tvaggatakuṣṭhaḥ,त्वग्गतकुष्ठः,,"the disorder is characterized by sparṣahāniḥ [loss of tactile sensation], svēdanatvam [sweating], īśat kaṇḍū [minimal itching], vaivarṇyam/aṅga-vaivarṇam [discolouration], rūkṣabhāvaḥ/rūkṣatā [dryness], tōdaḥ [pricking pain]",,ITA-5.59.20,"Skin disease localized
in primary circulating
nutrient fluid","A skin disease characterized by loss of touch sensation;
excess sweating; mild itching; discoloration; dryness.",tvaggatakuṣṭhaḥ,तर्गगत्कुष्ः
150,883,919,ed-5(sn4d),svitrah,śvitraḥ,श्वित्रः,,,,ITA-5.59.21,"Vitiligo; skin disease
with morbid white
patches on skin","A skin disease characterized by patches of hypopigmented,
white-coloured skin lesions; without discharge.",śvitraḥ,वश्रिः
151,891,927,ed-6,masurika,masūrikā,मसूरिका,,"the disorder is characterized by masūrākr̥ti-piḍakā [lentil form pustules on skin], masūrasaṁsthāna-piḍakā [lentil size pustules on skin]",note: also classifed under #san@kshudrarogah#[o],ITA-5.61.8,"Lentil-shaped
pox disease","A disorder characterized by lentil-shaped pustules on skin;
The presentation resembles smallpox and such other
eruptive fevers.",masūrikā,मसूरि्का
152,892,928,ed-6.1,masurikapurvarupam,masūrikāpūrvarūpam,मसूरिकापूर्वरूपम्,,"the disorder is characterized by jvaram [fever], kaṇḍūḥ [itching], gātrabhaṅgaḥ [breaking pain in body], aratiḥ [distress/dicontent/restlessness], bhramaḥ [giddiness or dizziness], tvaci śōthaḥ [oedema on skin], vaivarṇyam [discolouration], nētrarāgaḥ [redness of eyes]",,ITA-5.61.9,"Prodromal symptoms
of lentil-shaped
pox disease","Lentil-shaped eruptive disorder is characterized by fever;
itching; breaking pain in body; distress/discontent/
restlessness; giddiness or dizziness; oedema on skin;
discoloration; redness of eyes.",masūrikāpūrvarūpam,मसूरि्कापूर्वारूपम्
153,893,929,ed-6.2,vatajamasurika,vātajamasūrikā,वातजमसूरिका,,"the disorder is characterized by śyāva-sphōṭaḥ [blackish eruptions], aruṇa-sphōṭaḥ [slightly reddish eruptions], rūkṣa-sphōṭaḥ [dry eruptions], tīvravēdanā (sphōṭaḥ) [severe pain], kaṭhina-sphōṭaḥ [hard eruptions], cirapākaḥ [take a long time to suppurate], sandhi-bhēdaḥ [breaking/splitting pain in joints], asthi-bhēdaḥ [breaking/splitting type of pain in the bones], parva-bhēdaḥ [breaking type of pain in small joints], kāsaḥ [cough], kampaḥ [tremors], aratiḥ [distress/dicontent/restlessness], klamaḥ [exhaustion without exertion], tālu-śōṣaḥ [dryness of palate], ōṣṭha-śōṣaḥ [dryness of the lips], jihvā-śōṣaḥ [dryness of the tongue], tr̥ṣṇā [thirst], aruciḥ [tastelessness]",,ITA-5.61.10,"Lentil-shaped pox
disease due to
vitiated vata","Lentil-shaped eruptive disorder is characterized by blackish
eruptions; slightly reddish eruptions; dry eruptions; severe
pain; hard eruptions; taking a long time to suppurate;
breaking/splitting pain in joints; breaking/splitting type of bone
pains; breaking type of pain in small joints; cough; tremors;
distress/discontent/restlessness; exhaustion without exertion;
dryness of palate; dryness of lips; dryness of tongue; thirst;
loss of taste.",vātajamasūrikā,र्ातजमसूरि्का
