term_id,english_term,description,transliteration,native_term
ISMT-4.6.16,"traditional vaccination
method for pox
viruses",Content of the vesicles of pox disease is used for inoculation,Ammai pāl / ammai kuttal,"அம்ைம பால் /
அம்ைம குததல்"
ISMT-4.6.17,tuberculosis,"Characterized by emaciation, evening rise of temperature,
weakness of seven uṭaṟtātu: pulmonary phthisis; caused by
improper food and lifestyle, suffering from any chronic
disease, residing in poorly ventilated places, etc.; primarily
due to derangement of aiyam, vaḷi and aẕal; also affects
normal functioning of vaḷi where it is located; based on the
affected vaḷi, classifed in five types based on the affected
parts : 1. upper respiratory organs affected (urttuvakata
tōṭam); 2. lower abdomen affected (kōṭṭakkata tōṭam); 3.
upper abdomen affected (atōkata tōṭam); 4. pleura and skin
affected (tiriyakkata tōṭam); 5. bone and joints affected
(cantika tōṭam)","Cayam / cayarōkam /
kṣyam / iḷaippu /
cuṭka nōy /
kaya nōy/ kācarōkam /
aracanōy / īḷai","்சயம் / ்சயதராகம் /
க்யம் / இைளப்பு /
சுடக தநாய /கய
தநாய/கா்சதராகம்/
அர்சதநாய/ ஈைள"
ISMT-4.6.18,blood parasites,,Iratta puẕu,இரதத புழு
ISMT-4.6.19,cholera,"Cholera / gastroenteritis has three types: 1.characterized by
diarrhoea associated with vomiting, giddiness, coldness with
sweating all over body, thirst and abdominal pain (vaḷi ūẕi); 2.
characterized by bloody and mucous diarrhoea, ear
blockage, dizziness, thirst, dryness of tongue, sweating and
coldness of body (aẕal ūẕi); 3.characterized by vomiting of
ingested food followed by diarrhoea, indigestion, abdominal
pain and sweating; in later stage, colour of stools becomes
white like buttermilk, sunken eyes, muscle cramps in limbs
leading to death (aiya ūẕi)",Ūẕi nōy / vicūẕi - 3,"ஊழி தநாய /
விசூழி - 3"
ISMT-4.6.20,"intestinal
microorganism",,Kāṇakkirumi,காண்ககிருமி
ISMT-4.6.21,elephantiasis,"Lymph oedema due to obstruction of lymph channels in
lower limbs - filariasis","Cīlipata nōy /
pātavaṉmīkam /
yāṉaikkāl","்சீலிபத தநாய /
பாதவனமீகம் /
யாை்்ககால்"
ISMT-4.7.1,vitiated aẕal in blood,"A disorder of aẕal humour vitiation affecting haematological
and haemodynamic parameters; includes diseases such as
hypertension, bleeding diathesis, vascular
disorders and stroke","Kurutiyaẕal /
irattak kotippu","குருதியழல் /
இரதத்க பகாதிப்பு"
ISMT-4.7.2,haemoptysis,,Irattam kakkal,இரததம் க்ககல்
ISMT-4.7.3,"therapeutic
phlebotomy","Traditional bloodletting; removal of impure blood in a
controlled way, using leeches and parasurgical methods",Irattaṅ kutti vāṅkal,"இரததங
குததி வாஙகல்"
ISMT-4.7.4,spurting of blood,,Irattaṅ koppuḷittal,"இரததங
பகாப்புளிததல்"
ISMT-4.7.5,haematemesis,,Iratta catti,இரதத ்சததி
ISMT-4.7.6,"phthisis with
haemoptysis",,Iratta cayam,இரதத ்சயம்
ISMT-4.7.7,haematospermia,"Semen admixed with blood; also indicates sero-sanguinous
urogenital discharge","Iratta cukkila oẕukku /
iratta cukkilam","இரதத
சு்ககில ஒழு்ககு /
இரதத சு்ககிலம்"
ISMT-4.7.8,"pain with internal
bleeding","Acute throbbing pain due to accumulation of blood; includes
sharp pain in conditions such as haemoperitoneum,
haemarthrosis, ventricular bleeding in brain, bleeding into
fascial planes (compartmental syndrome), etc.",Iratta cūlai,இரதத சூைல
ISMT-4.7.9,dysmenorrhoea,Acute pain due to accumulation of blood from vitiated vaḷi,"Iratta cūlaivāyu /iratta
pitta kuṉmam /
pūppuc cūlai","இரதத சூைலவாயு /
இரதத பிதத குனமம் /
பூப்புச சூைல"
ISMT-4.7.10,"erythematous
dermatosis","Erythematous, itchy skin lesions which bleed on scratching",Iratta coṟi,இரதத ப்சாறி
ISMT-4.7.11,scarlet red lesions,,Irattac civappu,இரததச ்சிவப்பு
ISMT-4.7.12,blood circulation,"Movement of blood to and from heart through veins
and arteries","Irattac cuẕaṟci /
irattac cuṟṟōṭṭam","இரததச சுழற்்சி /
இரததச சுற்தறாடடம்"
ISMT-4.7.13,haemolysis,Destruction or lysis of blood components,Irattañcātal,இரததஞ்சாதல்
ISMT-4.7.14,"reduction in blood
volume",,Irattam cuṇṭutal,இரததம் சுணடுதல்
ISMT-4.7.15,thrombosis,Increased viscosity of blood leading to clot formation,"Irattat taṭippu / iratta
tiraṭci /irattat tiraḷ","இரததத தடிப்பு /
இரதத திரட்சி /
இரததத திரள"
ISMT-4.7.16,ischaemia,Blockage or reduction of blood supply,Irattat taṭai,இரததத தைட
ISMT-4.7.17,plasma,Fluid part of blood,Iratta tiravam,இரதத திரவம்
ISMT-4.7.18,arterial pulsation,,Irattat tuṭippu,இரததத துடிப்பு
ISMT-4.7.19,blood vessel,,Iratta nāṭi,இரதத நாடி
ISMT-4.7.20,"numbness due to
ischaemia","Poor blood supply to sensory nerves, leading to numbness",Irattat timir,இரததத திமிர்
ISMT-4.7.21,"rupture in blood
vessel",,Iratta nāṭi piḷappu,இரதத நாடி பிளப்பு
ISMT-4.7.22,"dilatation of blood
vessel",,Iratta nāṭi virivu,இரதத நாடி விாிவு
ISMT-4.7.23,phlebitis,Inflammation of a vein,Iratta nāḷa tāpitam,இரதத நாள தாபிதம்
ISMT-4.7.24,blood disorder,"Types of disorders affecting the quality, quantify and
function of blood",Iratta nōy,இரதத தநாய
ISMT-4.7.25,reddening of skin,,Irattan tatumpal,இரததந ததும்பல்
ISMT-4.7.26,"acute abdomen with
haematemesis",Acute colicky pain in the abdomen with vomiting of blood,Iratta pitta cūlai,இரதத பிதத சூைல
ISMT-4.7.27,"ulcerations in
haematological
disorders",Pernicious ulcer due to certain haematological conditions,Iratta pitta tuṭṭa viraṇam,"இரதத பிதத
துடட விரணம்"
ISMT-4.7.28,viscidity of blood,,Irattap pacai,இரததப் பை்ச
ISMT-4.7.29,blood flow/ perfusion,Flow or rush of blood to a particular part,"Iratta pāyccal /
irattap pōkku","இரதத பாயச்சல் /
இரததப் தபா்ககு"
ISMT-4.7.30,haematocyst,Effusion of blood into cavity of urinary bladder or in a cyst,Iratta piṇi nīrppai,இரதத பிணி நீர்ப்ைப
ISMT-4.7.31,"serosanguinous
genitourinary
discharge",Genitourinary disease with blood-tinged discharge,Iratta piramēkam,இரதத பிரதமகம்
ISMT-4.7.32,"massive
haemorrhage",Profuse leakage of blood,"Iratta piravākam/
iratta perukku","இரதத பிரவாகம்/
இரதத பபரு்ககு"
ISMT-4.7.33,haemorrhage,"Loss of blood, inside or outside the body",Irattappōkku,இரததப்தபா்ககு
ISMT-4.7.34,"syncope due
to blood loss",,Iratta mayakkam,இரதத மய்ககம்
ISMT-4.7.35,"haematochezia /
malaena","The passage of blood through the anus, in or with stools",Iratta malam,இரதத மலம்
ISMT-4.7.36,haemostatsis,Cessation of bleeding from a blood vessel,Iratta maṟippu,இரதத மறிப்பு
ISMT-4.7.37,bleeding disorders,"Copious escape of blood from vessels through nine openings
of the body; there are eight types: 1.disease characterized by
body pain, constipation, painful defaecation with pellet-like
stools and rectal bleeding (vaḷi kurutiyaẕal nōy); 2. a disease
characterized by features of vaḷi and aẕal (vaḷitīkurutiyaẕal
nōy); 3. a disease caused by vitiated vaḷi and aiyam humour,
characterized by rectal bleeding, which is pale, with mucus
and bad odour(vaḷi aiya kurutiyaẕal nōy); 4. characterized by
features of vitiated aẕal-like excessive bleeding of pale blood
admixed with bilious fluid; pallor and yellowish tint of skin;
greenish hue is imparted to eyes, tongue and complexion(
tīkkuruti aẕal nōy); 5. a disease characterized by bleeding
which is pale, with mucus, odour like that of meat wash,
continuous cough, mild fever and running nose (aiya
kurutiyaẕẕal nōy,); 6. a disease characterized by features of
aiyam and vaḷi (aiyavaḷi kurutiyaẕal nōy); 7. a disease
characterized by features of aiyam and aẕal (aiya aẕal
kurutiyaẕal nōy,); 8. a disease characterized by features of
vaḷi, aẕal and aiyam (mukkuṟṟa kurutiyaẕal nōy)","Iratta pittam/
kurutiyaẕal nōy","இரதத பிததம்/
குருதியழல் தநாய"
ISMT-4.7.38,blood pooling,,Iratta vaṭṭam,இரதத வடடம்
ISMT-4.7.39,pallor of tongue,Pale appearance of tongue,"Nākku veḷuttu kāṇal /
nā veḷuppu","நா்ககு பவளுதது
காணல் /
நா பவளுப்பு"
ISMT-4.7.40,anaemia/ pallor,"Characterized by discoloration/pallor of skin, nails and
conjunctiva due to derangement of vaḷi, influencing aẕal,
affecting cāram and cennīr; caused by excessive bleeding,
intestinal worms, excessive intake of salt and sour-tasting
food items, toxins, and occurring in diseases such as
tuberculosis and dysentery; classified as: 1. anaemia due to
vitiated vaḷi (vāta pāṇṭu); 2. anaemia due to vitiated aẕal
(pitta pāṇṭu ); 3. anaemia due to vitiated aiyam (kapa pāṇṭu/
cilēttuma pāṇṭu ); 4. anaemia due to derangement of three
uyirttātu (mukkuṟṟa pāṇṭu); 5. poisoning causing
pancytopenia (nañcu pāṇṭu)","Pāṇṭu/uṭal veḷumai/
veḷuppu/veṇmai nōy/
irattacōkai","பாணடு/உடல்
பவளுைம/
பவளுப்பு/ பவணைம
தநாய/இரததத்சாைக"
ISMT-4.7.41,pallor of face,,Veḷutta mukam,பவளுதத முகம்
ISMT-4.7.42,becoming pale,,Veḷiṟal/ veḷuttal/veḷiṟiṉa,"பவளிறல் /
பவளுததல் /
பவளிறி்"
ISMT-4.7.43,"treatment to bring
back normal colour
of skin",,Pāṇṭukkaraṇam,பாணடு்ககரணம்
ISMT-4.7.44,pain felt in dropsy,,Pāṇṭu cūlai,பாணடு சூைல
ISMT-4.7.45,diarrhoea in anaemia,Diarrhoea in anaemia followed by sudden swelling,"Pāṇṭu nōykkirāṇi /
pāṇṭukkirāṇi","பாணடு
தநாய்ககிராணி /
பாணடு்ககிராணி"
ISMT-4.7.46,dropsical oedema,,Pāṇṭu vīkkam,பாணடு வீ்ககம்
ISMT-4.7.47,pallor in anaemia,,Pāṇṭu vaṇṇam,பாணடு வணணம்
ISMT-4.7.48,"poisoning causing
pancytopenia","Characterized by pallor due to intake of noxious food and
toxic substances; symptoms include thirst, anorexia,
vomiting, hiccough, cough, gasping, generalized body
swelling and inflammation of nerves","Viṭapāṇṭu / nañcu
pāṇṭu/viṣa pāṇṭu","விடபாணடு / நஞசு
பாணடு/விஷ பாணடு"
ISMT-4.7.49,picca,"Characterized by excessive craving for consumption of mud,
brick, ash, camphor in children, adolescents and pregnant
women; associated symptoms are abdominal distention,
indigestion, vomiting, diarrhoea, fever, intestinal worms,
emaciation, etc.","Maṇṇuṉ pāṇṭu /
maṇṇuṉ veḷuppu","மணணுன பாணடு /
மணணுன பவளுப்பு"
ISMT-4.7.50,"anaemia associated
with anasarca",Characterized by pallor and generalized oedema of body,Ūtu pāṇṭu,ஊது பாணடு
ISMT-4.7.51,"anaemia associated
with ascitis","Characterized by excessive accumulation of body fluids,
excessive urination",Nīrppāṇṭu,நீர்ப்பாணடு
ISMT-4.7.52,"anaemia with
peripheral neuritis","Characterized by pallor, burning sensation in extremities,
and weakness",Erippāṇṭu,எாிப்பாணடு
ISMT-4.7.53,plethoric condition,Swelling of cheek or face through dropsy or anaemia,Kuḷuppai,குளுப்ைப
ISMT-4.7.54,"purpura-like
haemorrhages",,Irattam curantu veḷippaṭal,"இரததம்
சுரநது பவளிப்படல்"
ISMT-4.7.55,diseases of blood,,"Acirkkaram / utāvarttam /
utāvarttaṉam","அ்சிர்்ககரம் /
உதாவர்ததம் /
உதாவர்தத்ம்"
ISMT-4.7.56,oedema/ swelling,,Ataippu /vīkkam,அைதப்பு /வீ்ககம்
ISMT-4.8.1,haemic murmur,A cardiac or vascular murmur heard in an anaemic person,Irattap porumal,இரததப் பபாருமல்
ISMT-4.8.2,cardiac disorder,"A disorder of thoracic region characterized by spasmodic
suffocative attacks is of five types: 1. heart disease due to
vitiated vaḷi / rheumatic heart disease (vāta tamaraka nōy);
2. heart disease due to vititated aẕal (pitta tamaraka nōy); 3.
heart disease due to vitiated aiyam (kapa tamaraka nōy); 4.
infective heart diseases (puḻu tamaraka nōy); 5. heart
disease due to vitiated three uyirttātu (mukkuṟṟa
tamaraka nōy)","Irutturōkam / irutaya
rōkam / uruttira rōkam /
neñcu nōy /tamaraka
nōy/mārpu nōy","இருததுதராகம் /
இருதய தராகம் /
உருததிர தராகம் /
பநஞசு தநாய /தமரக
தநாய/மார்பு தநாய"
ISMT-4.8.3,thoracic pain,Diseases of heart marked by thoracic pain with suffocation,Ura nōy,உர தநாய
ISMT-4.8.4,"chronic cardiac
diseases",,"Nīṇṭa irutaya nōy /
nāṭpaṭṭa irutaya nōy /
uruttiratōṭam / rutratōṭam","நீணட இருதய
தநாய / நாடபடட
இருதய தநாய /
உருததிரததாடம் /
ருதரததாடம்"
ISMT-4.8.5,chest pain / angina,A type of chest pain due to reduced blood flow to heart,Neñcu vali,பநஞசு வலி
ISMT-4.8.6,cardiac arrest,"Condition of abrupt loss of heart function, breathing and
consciousness",Māraṭaippu / neñcaṭaippu,"மாரைடப்பு /
பநஞ்சைடப்பு"
ISMT-4.8.7,"cardiac asthenia /
heart exhaustion",Weakness of heart due to vitiated vaḷi,Irutayaccōrvu rōkam,"இருதயசத்சார்வு
தராகம்"
ISMT-4.8.8,palpitation,,Tuṭi/tuṭittal,துடி/துடிததல்
ISMT-4.8.9,"pulsation in
neck region",,"Kaṇṭattuṭippu /
kaẕuttu tuṭippu","கணடததுடிப்பு /
கழுதது துடிப்பு"
ISMT-4.9.1,cough,"Classified in 12 types: 1. cough due to vitiated vaḷi (vaḷi
irumal); 2. cough due to vitiated aẕal (pitta kācam / aẕal
irumal); 3. cough due to vitiated aiyam (cilēttuma kācam /
kōḻai kācam / īḷai kācam); 4. cough due to vitiated vaḷi and
aẕal (vaḷi aẕal irumal); 5. cough due to vitiated aẕal and
aiyam (aẕal aiya irumal); 6. cough due to derangement of
vaḷi, aẕal and aiyam (mukkuṟṟa irumal); 7. cough during
humid weather (mantārakācam / mantarācuvācam /
kuḷirirumal); 8. seasonal cough with indrawing of intercostal
muscles (pakka mantāra kācam); 9. postpartum cough
(cuṭar kācam / cuṭar irumal); 10. cough with wheeze (cuvāca
irumal); 11. cough with running nose (pīṉica kācam / pīṉica
irumal); 12. cough with haemoptysis (irattakācam /
kuruti kācam)","Irumal / irumal aiyam /
kōḻẕai irumal / kācam","இருமல் / இருமல்
ஐயம் / தகாைழ
இருமல் / கா்சம்"
ISMT-4.9.2,short cough,Mild cough due to throat irritation,"Ciṟu kācam / ciṟu irumal /
kuṟṟirumal / kuttirumal","்சிறு கா்சம் / ்சிறு
இருமல் / குற்றிருமல் /
குததிருமல்"
ISMT-4.9.3,"respiratory ailments
during humid weather","Characterized by cough with breathing difficulty due to humid
conditions, sneezing, hissing sound of breath, expectoration
of sputum, sweat, pain in neck and ears","Mantāra kācam /
mantarā cuvācam /
kuḷirirumal","மநதார கா்சம் /
மநதரா சுவா்சம் /
குளிாிருமல்"
ISMT-4.9.4,"cough associated
with phases of the
moon","Cough associated with waxing and waning of moon,
symptoms like cough, breathing difficulty, flatulence, rhinitis,
sore throat, which starts after full moon day, gradually
increases and then decreases after a few days; symptoms
reappear on next full moon day",Pakka mantāra kācam,ப்கக மநதார கா்சம்
ISMT-4.9.5,postpartum cough,"Occurs in mother immediately after childbirth; aiyam
dominates in weak postpartum stage and causes pricking
pain in throat, rhinitis, headache, chest pain, thirst and fever;
continuous cough results in wheezing, breathlessness,
gasping and air hunger; eyes become reddish and protruded",Cuṭar kācam /cuṭar irumal,"சுடர் கா்சம் /
சுடர் இருமல்"
ISMT-4.9.6,"asthma with peculiar
breath sounds like
those of snake
and rat","Asthma in which breath sounds resemble rat squealing and
snake hissing; characterized by indigestion, bloating and
breathlessness","Iẕuppu irumal/
icivu irumal","இழுப்பு இருமல்/
இ்சிவு இருமல்"
ISMT-4.9.7,expectoration,,"Kapam kakkutal/
kōẕai veḷippaṭal","கபம் க்ககுதல்/
தகாைழ பவளிப்படல்"
ISMT-4.9.8,"bronchial asthma /
difficulty in breathing
associated with
wheezing","Difficulty of breathing of spasmodic character occurring in
paroxysms caused by increased aiyam, resulting from
improper diet and life style; consumption of aiyam increasing
foods, inhalation of brans and allergens; due to derangement
of aiyam; marked by cough, wheezing and a sensation of
constriction; five types, viz.,1. allergic bronchitis (vaḷi iraippu);
2. cardiac asthma (aiya iraippu); 3. asthma due to vitiated
aiyam vaḷi (aiyavaḷi iraippu); 4. asthma due to derangement
of three uyirtātu (mukkuṟṟa iraippu); 5. (mēlnōkku iraippu)","Iraippu/ iraippu irumal/
neñciliẕuppu / cuvācavali/
iẕuppu cuvācam","இைரப்பு/
இைரப்பு இருமல்/
பநஞ்சிலிழுப்பு /
சுவா்சவலி/
இழுப்பு சுவா்சம்"
ISMT-4.9.9,tracheitis,Inflammation of the trachea,Tamarakatāpam,தமரகதாபம்
ISMT-4.9.10,rhonchi,"Rumbling airway sounds heard in bronchial asthma, due to
secretion in airways; wheeze sound resembles sounds of
musical instruments","Īḷai iẕuttal / neñcil
uṇṭākum kuṟu
kuṟuveṉkiṟa oli","ஈைள இழுததல் /
பநஞ்சில்
உணடாகும் குறு
குறுபவனகிற ஒலி"
ISMT-4.9.11,rales,Respiratory sound resembles hissing of snake,Mūccu cīṟutal,மூசசு ்சீறுதல்
ISMT-4.9.12,stridor,Rumbling respiratory sound,Iraital,இைரதல்
ISMT-4.9.13,"respiratory disease
due to indigestion","A disease in children characterized by swelling of abdomen,
difficulty in breathing and convulsions due to indigestion",Iraippu māntam,இைரப்பு மாநதம்
ISMT-4.9.14,"obstruction in
respiration",,"Cuvāca taṭai/
mūccu muṟippu","சுவா்ச தைட/
மூசசு முறிப்பு"
ISMT-4.9.15,asphyxia,Condition of being suffocated,"Cuvāca pantam/
cuvāca pantaṉam","சுவா்ச பநதம்/
சுவா்ச பநத்ம்"
ISMT-4.9.16,respiratory distress,,"Cuvāca muṭṭal/
mūccu tiṇaṟal","சுவா்ச முடடல்/
மூசசு திணறல்"
ISMT-4.9.17,pleuritis,"Disease marked by inflammation of outer covering of
respiratory organ",Cuvātam /cuvācakkuṟṟu,"சுவாதம் /
சுவா்ச்ககுற்று"
ISMT-4.9.18,bronchitis,Condition marked by inflammation of bronchial tubes,Cuvāca kōca aẕaṟci,சுவா்ச தகா்ச அழற்்சி
ISMT-4.9.19,shortness of breath,,Kaṭiṉa cuvācam,கடி் சுவா்சம்
ISMT-4.9.20,deep breath,,Neṭumūccu,பநடுமூசசு
ISMT-4.9.21,"dyspnoea with air
hunger",,Mēliraippu,தமலிைரப்பு
ISMT-4.9.22,allergic bronchitis,"Dyspnoea and empty feeling in chest, due to intake of
allergenic foods and tubers causing indigestion, due to
vitiated vaḷi","Vaḷi iraippu nōy/
cūttira cuvācam","வளி இைரப்பு தநாய/
சூததிர சுவா்சம்"
ISMT-4.9.23,status asthmaticus,"Asthma characterized by breathlessness, air hunger,
difficulty in breathing in supine position, dryness of mouth,
protuberance of eyeball; leading to death if not treated
immediately",Mēlnōkku iraippu nōy,"தமல்தநா்ககு
இைரப்பு தநாய"
ISMT-4.9.24,cardiac asthma,"Asthma due to deranged aiyam with features of cold, running
nose, nasal congestion and chest congestion, which relieves
on expectoration; waking up from bed due to shortness of
breath, sweating on forehead, chilled extremities and
dryness of tongue; cardiac asthma-like symptoms","Aiya iraippu nōy/
tamaraka cuvācam","ஐய இைரப்பு தநாய/
தமரக சுவா்சம்"
ISMT-4.9.25,"asthma due to vitiated
aiyam vaḷi / kapa
vātam","Asthma due to deranged aiyam and vaḷi, characterized by
constipation and oliguria which results in distention of
abdomen; may lead finally to delirium","Aiyavaḷi iraippu nōy/
viciṉṉa cuvācam","ஐயவளி
இைரப்பு தநாய/
வி்சின் சுவா்சம்"
ISMT-4.9.26,"asthma due to
derangement of
three uyirtātu","Asthma due to derangement of all three humours;
characterized by giddiness and tremors; even before onset
of disease, patient experiences difficulty in breathing, breathe
like that of a cow with head lifted upwards, tightness and
pain in chest, abdominal distention due to bowel and urinary
obstruction, stammering, body pain and sweating","Mukkuṟṟa iraippu nōy/
makā cuvācam","மு்ககுற்ற இைரப்பு
தநாய/ மகா சுவா்சம்"
ISMT-4.9.27,"cough with
expectoration",,Īḷai irumal,ஈைள இருமல்
ISMT-4.9.28,phlegm,,Īḷai,ஈைள
ISMT-4.9.29,"progressive
emaciation",,Iḷaittu varutal,இைளதது வருதல்
ISMT-4.9.30,respiratory spasm,,Kēval,தகவல்
ISMT-4.9.31,phlegm/sputum,,Kōẕainīr / kōẕai,தகாைழநீர் / தகாைழ
ISMT-4.9.32,chest deformity,,Muramuntu nōy,முரமுநது தநாய
ISMT-4.9.33,froth,,Nurai,நுைர
ISMT-4.10.1,abdominal disorder,"General term for any disease that affects the normal function
of the stomach","Utara nōy / utara rōkam /
vayiṟṟu nōy","உதர தநாய /
உதர தராகம் /
வயிற்று தநாய"
ISMT-4.10.2,"intestinal tuberculosis /
intra-abdominal
abscess","Abscess accompanied by inflammation in chest, bowels, etc.,
with purulent discharge; characterized by heaviness and pain
all over body, burning sensation of limbs, cough, giddiness,
fever, headache; four types are: 1. diarrhoea containing pus,
cough, mild fever, weight loss, loss of appetite, etc. (vali
uḷaimāntai); 2. lower abdominal pain associated with fever,
vomiting and giddiness (aẕal uḷaimānta); 3. pus containing
vomitus, giddiness, tremors, fever, etc. occur (aiyam
uḷaimāntai); 4. dysphagia, excessive sleeping, itching all
over body associated with foul-smelling productive cough
(mukkuṟṟam uḷaimāntai)","Kuṭal cītam / uḷaimāntai /
kuṭal cayam","குடல் ்சீதம் /
உைளமாநைத /
குடல் ்சயம்"
ISMT-4.10.3,"severe intestinal
tuberculosis","Characterized by choking pain in the throat during intake of
food, difficulty in swallowing, emaciation, increased sleep,
generalized itching all over the body, cough with
expectoration with foul odour sputum",Tiritōṭa uḷaimāntai,"திாிததாட
உைளமாநைத"
ISMT-4.10.4,aperistalsis of colon,Absence or cessation of intestinal movements,Kuṭaṟkaṭṭu,குடற்கடடு
ISMT-4.10.5,"parasitic worm
infestation","Generally in the lower intestine; clinical features are
abdominal pain, diarrhoea, nausea or vomiting, loss of
appetite, malaise, dehydration; most common in children;
three types of worm infesting children are: 1.whipworm
(macaraip pūcci); 2. pinworm (kīrippūcci); 3. roundworm
(nākappūcci); the worm schistosomes (sirunathan) causes
fistula in ano; protozoan parasites (malaṭṭuppuẕu) reside in
womb, consume germ cells and cause infertility",Kuṭai puẕu/kuṭaṟpūcci,குைட புழு/குடற்பூச்சி
ISMT-4.10.6,"inflammation of first
part of intestine","Characterized by upper abdominal symptoms that may
include pain or discomfort, bloating, feeling of fullness with
very little food intake, an unusual feeling of fullness following
meals, nausea, loss of appetite, heartburn, regurgitation of
food or acid, and belching with sour taste",Aẕal kuṭal,அழல் குடல்
ISMT-4.10.7,abdominal pain,,Utara pīṭai/ vayiṟṟu vali,"உதர பீைட/
வயிற்று வலி"
ISMT-4.10.8,"deep neural pain in
abdominal viscera","Neuralgic pain in abdominal viscera, particularly in the liver","Kulai nōvu / kulaiyil
ēṟpaṭum vali","குைல தநாவு /
குைலயில்
ஏற்படும் வலி."
ISMT-4.10.9,abdominal discomfort,,Vayiṟṟuḷaivu,வயிற்றுைளவு
ISMT-4.10.10,"diseases affecting
liver, lungs and
spleen",,Īral kulai nōy,ஈரல் குைல தநாய
ISMT-4.10.11,inflammation of liver,,Īralericcal,ஈரபலாிச்சல்
ISMT-4.10.12,"hepatic tumour /
abscess",,Īral kaṭṭi/īral kaẕalai,"ஈரல்
கடடி/ஈரல் கழைல"
ISMT-4.10.13,"visceral tremor due
to fear",Palpitation due to sudden unexplained fear,"Īraṟkulai naṭukkal /
īral pataṟal","ஈரற்குைல நடு்ககல் /
ஈரல் பதறல்"
ISMT-4.10.14,pain in liver,,"Īral kuṭaiccal /īral
vātam /īral vali","ஈரல் குைடச்சல் /ஈரல்
வாதம் /ஈரல் வலி"
ISMT-4.10.15,hepatitis,,Īral tāpaṉa rōkam,ஈரல் தாப் தராகம்
ISMT-4.10.16,dislocation of liver,,Īral naẕukal,ஈரல் நழுகல்
ISMT-4.10.17,carcinoma of liver,,Īral piḷavai,ஈரல் பிளைவ
ISMT-4.10.18,cirrhosis of liver,,Īral vaṟṟal,ஈரல் வற்றல்
ISMT-4.10.19,hepatomegaly,,"Īral vīkkam /īral katippu /
īral vaḷartti","ஈரல் வீ்ககம் /
ஈரல் கதிப்பு /
ஈரல் வளர்ததி"
ISMT-4.10.20,rupture of liver,,Īral veṭippu,ஈரல் பவடிப்பு
ISMT-4.10.21,necrosis of liver,,Īral karukal,ஈரல் கருகல்
ISMT-4.10.22,biliary lithiasis,Formation of stones or calculi in liver or gallbladder,Īral kal,ஈரல் கல்
ISMT-4.10.23,disorders of spleen,"Splenic diseases caused by improper dietary habits,
consumption of such items as oil and ghee milk after feast,
and, frequent intake of purgative drugs; characterized by
daily enlargement of spleen, finally leading to anaemia;
associated symptoms are tastelessness, nausea, vomiting,
remittent fever and abdominal bloating; caused by vitiated
aẕal; four subtypes are: 1. splenic disorder due to vitiated
vaḷi (vaḷi maṇṇīral nōy); 2. splenic disorder due to vitiated
aẕal (aẕal maṇṇīral nōy); 3. splenic disorder due to vitiated
aiyam (aiya maṇṇīral nōy); 4. splenic disorder due to
derangement of three uyirttātu (mukkuṟṟa maṇṇīral nōy)","Maṇṇīral nōy/pilīkanōy /
iṭappāṭṭīral nōy /
pilīka rōkam","மணணீரல் தநாய/
பிலீகதநாய /
இடப்பாடடீரல் தநாய /
பிலீக தராகம்"
ISMT-4.10.24,"anaemia caused by
spleen enlargement",,Pilīka cōkai,பிலீக த்சாைக
ISMT-4.10.25,"inflammation of
spleen",,Pilīka tāpam,பிலீக தாபம்
ISMT-4.10.26,"dropsical swelling of
abdomen due to
spleen enlargement",,Pilīkōtaram,பிலீதகாதரம்
ISMT-4.10.27,enlarged spleen,,"Vallai kaṭṭi/āmaikkaṭṭi /
iṭappāṭṭīral vīkkam/
pilīkavirtti /
pilīkattiṉ perukkam","வல்ைல கடடி/
ஆைம்ககடடி /
இடப்பாடடீரல்
வீ்ககம்/ பிலீகவிர்ததி /
பிலீகததின பபரு்ககம்"
ISMT-4.10.28,"disorders related to
taste","Characterized by lack of interest in food and loss of taste; may
have a psychological aspect; caused due to derangement of
humours, depression, fear or excitement; there are five types:
1. tastelessness due to vitiation of vaḷi (vaḷi cuvaiyiṉmai nōy);
2. tastelessness due to vitiation of aẕal (aẕal cuvaiyiṉmai nōy)
3. tastelessness due to psychological factors (maṉa
cuvaiyiṉmai nōy); 4. tastelessness due to vitiation of aiyam
(aiya cuvaiyiṉmai nōy); 5. tastelessness due to derangement
of all three uyirttātu (mukkuṟṟa cuvaiyiṉmai nōy)","Aruci / cuvaiyiṉmai/
cuvaikkēṭu/arōcakam/
arōci / vāyilaippu/
uruciyiṉmai","அரு்சி /
சுைவயினைம/
சுைவ்கதகடு/
அதரா்சகம்/அதரா்சி /
வாயிைலப்பு/
உரு்சியினைம"
ISMT-4.10.29,aversion to food,,"Ūṉ veṟuppu/
aṉṉa veṟuppu","ஊன பவறுப்பு/
அன் பவறுப்பு"
ISMT-4.10.30,"finding agreeable
taste",,Cuvai taṭṭutal,சுைவ தடடுதல்
ISMT-4.10.31,gustatory nerve,,Cuvai narampu,சுைவ நரம்பு
ISMT-4.10.32,taste examination,,Cuvaipparīṭcai,சுைவப்பாீடை்ச
ISMT-4.10.33,taste bud,,Cuvai mūlam,சுைவ மூலம்
ISMT-4.10.34,common salt,,Cuvaiyātītam,சுைவயாதீதம்
