term_id,english_term,description,transliteration,native_term
IUMT-4.1.646,millet-shaped eruptions,,"Buthūr Shabīha
bi’l Jāwars",سرواجلاب ۃھیبش روثب
IUMT-4.1.647,blackish eruptions,,Al-Buthūr al-Sūd,دوسلا روثبلا
IUMT-4.1.648,greenish eruptions,,Al-Buthūr al-Khuḍr,رضخلا روثبلا
IUMT-4.1.649,reddish eruptions,,Al-Buthūr al-Ḥumr,رمحلا روثبلا
IUMT-4.1.650,dust-like eruptions,Minute numerous eruptions,Al-Buthūr al-Ghubr,ربغلا روثبلا
IUMT-4.1.651,itching of skin eruptions,,Al-Ḥikka fi’l Buthūr,"ف
روثبلا � ۃکحلا"
IUMT-4.1.652,shining eruptions,,Wahj al-Buthūr,روثبلا جھو
IUMT-4.1.653,"exacerbation of eruptions
in cold weather",,"Hayajān al-Buthūr
Waqt al-Bard",دربلا تقو روثبلا ناجیھ
IUMT-4.1.654,"exacerbation of
eruptions at night",,"Hayajān al-Buthūr
fi’l Layl",لیللا یف روثبلا ناجیھ
IUMT-4.1.655,"exacerbation of eruptions
in hot weather",,"Hayajān al-Buthūr fi’l
Waqt al-Ḥārr","یف روثبلا ناجیھ
راحلا تقولا"
IUMT-4.1.656,"exacerbation of eruptions
during daytime",,"Hayajān al-Buthūr
fi’l Nahār",راھنلا یف روثبلا ناجیھ
IUMT-4.1.657,"severe burning sensation
in affected part",,"Al-Iltihāb al-Shadīd fi’l
‘Uḍw al-Mā’ūf","یف دیدشلا باھتللاا
فؤاملا وضعلا"
IUMT-4.1.658,"blister formation on
affected part",,"Al-Tanaffuṭ fi’l ‘Uḍw
al-Mā’ūf",فؤاملا وضعلا یف طّفنتلا
IUMT-4.1.659,severe puffiness/swelling,,Al-Intifākh al-Shadīd,دیدشلا خافتنلاا
IUMT-4.1.660,oozing/exudation,,Rashḥ / Tarashshuḥ,حشرت / حشر
IUMT-4.1.661,profuse exudation,,Kathra al-Rashḥ,حشرلا ۃرثک
IUMT-4.1.662,redness of affected part,,Ḥumra al-‘Uḍw al-Mā’ūf,فؤاملا وضعلا ۃرمح
IUMT-4.1.663,"whitish discoloration
of swelling",,Bayāḍ Lawn al-Waram,مرولا نول ضایب
IUMT-4.1.664,"dusky discoloration
of swelling",,Kumūda Lawn al-Waram,مرولا نول ۃدومک
IUMT-4.1.665,"emergence of worms
from affected organ",,"Burūz al-‘Urūq mina’l
‘Uḍw al-Mā’ūf","نم قورعلا زورب
فؤاملا وضعلا"
IUMT-4.1.666,"inflammation with mild
swelling",,"Qilla al-Intifākh
fi’l Waram","ف ّ
مرولا � خافتنلاا ۃلق"
IUMT-4.1.667,"inflammation with
mild distension",,"Qilla al-Tamaddud
fi’l Waram","ف ّ ّ
مرولا � ددمتلا ۃلق"
IUMT-4.1.668,"inflammation with mild
pain",,Qilla al-Alam fi’l Waram,"ف ّ
مرولا � مللاا ۃلق"
IUMT-4.1.669,"appearance of rashes of
scabies between fingers",,"Ẓuhūr al-Jarab Bayn
al-Aṣābi‘",عباصلاا نیب برجلا روھظ
IUMT-4.1.670,fear during sleep,,Al-Faz‘ fi’l Nawm,مونلا یف عزفلا
IUMT-4.1.671,thickening of leg,,‘Iẓam al-Rijl,لجرلا مظع
IUMT-4.1.672,elephant-like leg,,Rijl al-Fīl,لیفلا لجر
IUMT-4.1.673,"deep invasion of
swelling",,"Waghl al-Waram
fi’l Jasad",دسجلا یف مرولا لغو
IUMT-4.1.674,"ulceration of cancerous
growth",,Taqarruḥ al-Saraṭān,ناطرسلا حرّ قت
IUMT-4.1.675,greenish vessels,,Al-‘Urūq al-Khuḍr,رضخلا قورعلا
IUMT-4.1.676,"difficulty in healing
wounds",,Ghilẓ Shafā’ al-Qurūḥ,حورقلا ءافش ظلغ
IUMT-4.1.677,eversion of wound edges,,"Inqilāb al-Qurūḥ
ilā Khārij",جراخ یلا حورقلا بلاقنا
IUMT-4.1.678,redness of wounds,,Ḥumra Lawn al-Qurūḥ,حورقلا نول ۃرمح
IUMT-4.1.679,"dusky discoloration
of wounds",,Kumūda Lawn al-Qurūḥ,حورقلا نول ۃدومک
IUMT-4.1.680,"greenish discoloration
of wounds",,Khuḍra Lawn al-Qurūḥ,حورقلا نول ۃرضخ
IUMT-4.1.681,hardening of swelling,,Ṣalāba al-Waram,مرولا ۃبلاص
IUMT-4.1.682,"loss of sensation
in swelling",,‘Adm al-Ḥiss fi’l Waram,مرولا یف سّ حلا مدع
IUMT-4.1.683,"decreased sensation
in swelling",,Qilla al-Ḥiss fi’l Waram,"ف ّ ّ
مرولا � سحلا ۃلق"
IUMT-4.1.684,rigor,shivering,Al-Nāfiḍ,ضفانلا
IUMT-4.1.685,severe rigor,,Al-Nāfiḍ al-Shadīd,دیدشلا ضفانلا
IUMT-4.1.686,chill,,Al-Bard,دربلا
IUMT-4.1.687,severe chill,,Al-Bard al-Shadīd,دیدشلا دربلا
IUMT-4.1.688,goose bumps,,Al-Qash‘arīra,ۃریرعشقلا
IUMT-4.1.689,malaise,,Al-Malayla,ۃلیلملا
IUMT-4.1.690,"feeling of distension at
lower costal margin",,Tamaddud al-Sharāsīf,فیسارشلا ددّ مت
IUMT-4.1.691,"feeling of breaking of
bones/ severe pain",,Iḥsās Taksīr al-‘Iẓām,ماظعلا ریسکت ساسحا
IUMT-4.1.692,nail clubbing,,Inḥinā’ al-Aẓfār,رافظلاا ءانحنا
IUMT-4.1.693,anorexia,,Suqūṭ al-Shahwa,ۃوھشلا طوقس
IUMT-4.1.694,"throbbing pain in
temporal region",,Ḍarabān al-Ṣudghayn,نیغدصلا نابرض
IUMT-4.1.695,hyperhydrosis,,Al-‘Araq al-Mufriṭ,طرفملا قرعلا
IUMT-4.1.696,"vomiting with bad
prognosis",,Al-Qay’ al-Radī,یدرلا ءیقلا
IUMT-4.1.697,recurrent vomiting,,Al-Qay’ al-Mutadārik,کرادتملا ءیقلا
IUMT-4.1.698,"sleeplessness without
heaviness of head",,"Al-Sahar bilā Thiqal
fi’l Ra’s",سأرلا یف لقث لاب رھسلا
IUMT-4.1.699,harmful sleeplessness,,Al-Sahar al-Mūdhī,یذوملا رھسلا
IUMT-4.1.700,excessive fatigue,,"Kathra al-Ta‘b /
Ta‘b Mufriṭ",طرفم بعت / بعتلا ۃرثک
IUMT-4.1.701,"dislike of indulging in
conversation",,Bughḍ al-Kalām,ملاکلا ضغب
IUMT-4.1.702,continuous talking,,Ittiṣāl al-Kalām,ملاکلا لاصتا
IUMT-4.1.703,"imperfection of speech/
dysphrasia",,Fasād al-Takallum,ملکتلا داسف
IUMT-4.1.704,difficulty in speech,,‘Usr al-Takallum,ملکتلا رسع
IUMT-4.1.705,"mild continued raised
body temperature",,"Al-Ḥarāra al-Hādi’a
al-Dā’ima",ۃمئادلا ۃئداھلا ۃرارحلا
IUMT-4.1.706,irritating hyperthermia,,Al-Ḥarāra al-Ladhdhā‘a,ۃعاذللا ۃرارحلا
IUMT-4.1.707,"exacerbation of body
temperature",,Hayajān al-Ḥarāra,ۃرارحلا ناجیھ
IUMT-4.1.708,"presence of interval
in fever",,Al-Taftīr,ریتفتلا
IUMT-4.1.709,"absence of interval
in fever",,‘Adm al-Taftīr,ریتفتلا مدع
IUMT-4.1.710,"flame-yellow colour of
urine",,Nāriya al-Bawl,لوبلا ۃیران
IUMT-4.1.711,haziness of urine,,Kudūra al-Bawl,لوبلا ۃرودک
IUMT-4.1.712,unconcocted urine,,Al-Bawl al-‘Adīm al-Nuḍj,جضنلا میدعلا لوبلا
IUMT-4.1.713,ill-formed stool,,Al-Barāz al-Samj,جمسلا زاربلا
IUMT-4.1.714,"increase in prodromal
stage/phase of a
disease",,Ṭūl Zamān al-Ibtidā’,ءادتبلاا نامز لوط
IUMT-4.1.715,"increase in convalescence
stage/phase of a disease",,Ṭūl Zamān al-Intihā’,ءاھتنلاا نامز لوط
IUMT-4.1.716,"increase in declining
stage/phase of a
disease",,Ṭūl Zamān al-Inḥiṭāṭ,طاطحنلاا نامز لوط
IUMT-4.1.717,throbbing pain,,Al-Ḍarabān,نابرضلا
IUMT-4.1.718,severe throbbing pain,,Shidda al-Ḍarabān,نابرضلاۃدّ ش
IUMT-4.1.719,severe irritation,,Al-Ladh‘ al-Qawī,یوقلا عذللا
IUMT-4.1.720,heaviness,,Al-Thiqal,لقثلا
IUMT-4.1.721,distension,,Al-Tamaddud,ددّ متلا
IUMT-4.1.722,"distension of affected
organ",,"Al-Tamadud fi’l ‘Uḍw
al-Mā’ūf",فؤاملا وضعلا یف ددّ متلا
IUMT-4.1.723,mild distension,,Qilla al-Tamaddud,"ّ ّ
ددمتلا ۃلق"
IUMT-4.1.724,"distension with throbbing
pain",,"Al-Tamaddud
ma‘ al-Ḍarabān",نابرضلا عم ددّ متلا
IUMT-4.1.725,"distension without
throbbing pain",,"Al-Tamaddud bi Ghayr
al-Ḍarabān",نابرضلاریغب ددّ متلا
IUMT-4.1.726,pain,,Al-Waja‘,عجولا
IUMT-4.1.727,severe pain,,Al-Waja‘ al-Shadīd,دیدشلا عجولا
IUMT-4.1.728,pain with heaviness,,Al-Waja‘ Al-Thaqīl,لیقثلا عجولا
IUMT-4.1.729,"characteristics of
individual temperament",,‘Alāmāt al-Amzija,ۃجزملأا تاملاع
IUMT-4.1.730,inference by palpation,,Al-Istidlāl bi’l Lams,سمللاب للادتسلاا
IUMT-4.1.731,hot to touch,,Al-Malmas al-Ḥārr,راحلا سململا
IUMT-4.1.732,cold to touch,,Al-Malmas al-Bārid,درابلا سململا
IUMT-4.1.733,soft to touch,,Al-Malmas al-Layyin,نّیللا سململا
IUMT-4.1.734,hard to touch,,Al-Malmas al-Ṣulb,بلصلا سململا
IUMT-4.1.735,"inference
from complexion",,"Al-Istidlāl min Lawn
al-Badan",ندبلا نول نم للادتسلاا
IUMT-4.1.736,fair complexion,,Shuqra Lawn al-Badan,ندبلا نول ۃرقش
IUMT-4.1.737,yellowish complexion,,Ṣufra Lawn al-Badan,ندبلا نول ۃرفص
IUMT-4.1.738,wheatish complexion,Lighter-skinned,Udma Lawn al-Badan,ندبلا نول ۃمدٲ
IUMT-4.1.739,"pale complexion due to
lack of blood",,"Ṣufra Lawn al-Badan
min ‘Adm al-Dam","نم ندبلا نول ۃرفص
مدلا مدع"
IUMT-4.1.740,purplish complexion,,"Bādhinjāniya Lawn
al-Badan",ندبلا نول ۃین اجنذاب
IUMT-4.1.741,white complexion,,Jaṣṣiya Lawn al-Badan,ندبلا نول ۃیصج
IUMT-4.1.742,"lead-coloured
complexion",,"Raṣāṣiya Lawn
al-Badan",ندبلا نول ۃیصاصر
IUMT-4.1.743,ivory complexion,,‘Ājiya Lawn al-Badan,ندبلا نول ۃیجاع
IUMT-4.1.744,"drawing inferences from
build of a person",,"Al-Istidlāl min Saḥna
al-Badan",ندبلا ۃنحس نم للادتسلاا
IUMT-4.1.745,lean and thin body,,Al-Badan al-Ḍa‘īf,فیعضلا ندبلا
IUMT-4.1.746,slender body,,Al-Badan al-Qaḍīf,فیضقلا ندبلا
IUMT-4.1.747,"thin body with features
of dryness",,Al-Badan al-Qaḥl,لحقلا ندبلا
IUMT-4.1.748,"inference from characters
of hair",,Al-Istidlāl mina’l Sha‘r,رعشلا نم للادتسلاا
IUMT-4.1.749,colour of hair,,Lawn al-Sha‘r,رعشلا نول
IUMT-4.1.750,rapid hair growth,,Sur‘a Nabāt al-Sha‘r,رعشلا تابن ۃعسر
IUMT-4.1.751,slow hair growth,,Buṭū’ Nabāt al-Sha‘r,رعشلا تابن ءوطب
IUMT-4.1.752,excessive hair,,Kathra al-Sha‘r,رعشلا ۃرثک
IUMT-4.1.753,scanty hair,,Qilla al-Sha‘r,"ّ
رعشلا ۃلق"
IUMT-4.1.754,curling of hair,,Ju‘ūda al-Sha‘r,رعشلا ۃدوعج
IUMT-4.1.755,straightening of hair,,Subūṭa al-Sha‘r,رعشلا ۃطوبس
IUMT-4.1.756,thickening of hair,,Ghilẓa al-Sha‘r,رعشلا ۃظلغ
IUMT-4.1.757,thinning of hair,,Riqqa al-Sha‘r,"ّ
رعشلا ۃقر"
IUMT-4.1.758,blackening of hair,,Sawād al-Sha‘r,رعشلا داوس
IUMT-4.1.759,reddish coloration of hair,,Ṣuhūba al-Sha‘r,رعشلا ۃبوھص
IUMT-4.1.760,"reddish-yellow coloration
of hair",,Shuqra al-Sha‘r,رعشلا ۃرقش
IUMT-4.1.761,red coloration of hair,,Ḥumra al-Sha‘r,رعشلا ۃرمح
IUMT-4.1.762,greying of hair,,Bayāḍ al-Shayb,بیشلا ضایب
IUMT-4.1.763,"inference from structure
of organs",,"Al-Istidlāl min Khalq
al-A‘ḍā’","نم للادتسلاا
ءاضعلاا قلخ"
IUMT-4.1.764,broad chest,,Al-Ṣadr al-Wāsi‘,عساولا ردصلا
IUMT-4.1.765,prominence of vessels,,Si‘a al-‘Urūq,قورعلا ۃعس
IUMT-4.1.766,muscularity of organs,,‘Aḍlāniya al-A‘ḍā’,ءاضعلاا ۃینلاضع
IUMT-4.1.767,strong limbs,,Ghilẓ al-Aṭrāf,فارطلاا ظلغ
IUMT-4.1.768,fully developed organs,,Tamām Khalq al-A‘ḍā’,ءاضعلاا قلخ مامت
IUMT-4.1.769,exposed joints,,Ẓuhūr al-Mafāṣil,لصافملا روھظ
IUMT-4.1.770,dryness of joints,,Qashf al-Mafāṣil,لصافملا فشق
IUMT-4.1.771,laryngeal prominence,,Burūz al-Ḥanjara,ۃرجنحلازورب
IUMT-4.1.772,straight nose,,Istiwā’ al-Anf,فنلاا ءاوتسا
IUMT-4.1.773,"inference from pattern of
sleep and wakefulness",,"Al-Istidlāl mina’l Nawm
wa’l Yaqẓa","مونلا نم للادتسلاا
ۃظقیلا و"
IUMT-4.1.774,excessive wakefulness,,Kathra al-Yaqẓa,"ث
ۃظقیلا ۃ�ک"
IUMT-4.1.775,"inference from body
functions",,"Al-Istidlāl min Af‘āl
al-Badan",ندبلا لاعفا نم للادتسلاا
IUMT-4.1.776,digestive power,,Quwwa al-Haḍm,مضھلا ۃوّ ق
IUMT-4.1.777,efficient digestion,,Jawda al-Istimrā’,ءارمتسلاا ۃدوج
IUMT-4.1.778,"rapid development of
organs",,Sur‘a Nushū’ al-A‘ḍā’,ءاضعلااءوشن ۃعسر
IUMT-4.1.779,"slow development of
organs",,Buṭū’ Nushū’ al-A‘ḍā’,ءاضعلااءوشن ءوطب
IUMT-4.1.780,rapid teething,,Sur‘a Nabāt al-Asnān,نانسلاا تابن ۃعسر
IUMT-4.1.781,slow teething,,Buṭū’ Nabāt al-Asnān,نانسلاا تابن ءوطب
IUMT-4.1.782,prolonged respiration,,‘Iẓam al-Tanaffus,سّفنتلا مظع
IUMT-4.1.783,tachypnoea,,Sur‘a al-Tanaffus,"ّ
سفنتلا ۃعسر"
IUMT-4.1.784,short-tempered,,Sur‘a al-Ghaḍab,بضغلا ۃعسر
IUMT-4.1.785,excessive anger,,Shidda al-Ghaḍab,بضغلا ۃدّ ش
IUMT-4.1.786,"(1) irritability
(2) sharpness",,Al-Ḥidda,ۃدّ حلا
IUMT-4.1.787,courage,,Al-Jur’a,ۃأرجلا
IUMT-4.1.788,loud voice,,‘Iẓam al-Ṣawt,توصلا مظع
IUMT-4.1.789,normal voice,,‘Adm ‘Iẓam al-Ṣawt,توصلا مظع مدع
IUMT-4.1.790,high-pitched voice,,Diqqa al-Ṣawt,"ّ
توصلا ۃقد"
IUMT-4.1.791,"hoarse sound / stridulous
sound",,"Ṣawt Abaḥḥ /
Aṣwāt Bāḥḥa","ّ
ہحاب تاوصا / حّ با توص"
IUMT-4.1.792,blephrospasm,"The term does not cover Ṭarf al-Ajfān mentioned
under diseases",Sur‘a al-Ṭarf,فرطلا ۃعسر
IUMT-4.1.793,power of imagination,,Quwwa al-Takhayyul,لّیختلا ۃوّ ق
IUMT-4.1.794,quick imagination,,Sur‘a al-Takhayyul,"ّ
لیختلا ۃعسر"
IUMT-4.1.795,"sharpness of
imagination",,Ḥidda al-Takhayyul,لّیختلا ۃدّ ح
IUMT-4.1.796,"quick recalling of saved
images",,"Sur‘a Istiḥḍār al-Ṣuwar
al-Maḥfūẓa","ر وصلا راضحتسا ۃعسر
ۃظوفحملا"
IUMT-4.1.797,"inference from character
of excretory products",,"Al-Istidlāl bi mā Yabruzu
mina’l Badan","زربی امب للادتسلاا
ندبلا نم"
IUMT-4.1.798,strong-odoured stool,,Ḥidda al-Barāz,زاربلا ۃدّ ح
IUMT-4.1.799,strong-odoured urine,,Ḥidda al-Bawl,لوبلا ۃدح
IUMT-4.1.800,strong-odoured sweat,,Ḥidda al-‘Araq,قرعلا ۃدّ ح
IUMT-4.1.801,quick walking,,Sur‘a al-Mashy,"ش
�ملا ۃعسر"
IUMT-4.1.802,"inference from rate of
responsiveness of organ",,"Al-Istidlāl min Sur‘a
Infi‘āl al-A‘ḍā’ wa
Buṭū’ihā","ۃعسر نم للادتسلاا
اھئوطبو ءاضعلاا لاعفنا"
IUMT-4.1.803,"quick responsiveness
of organ",,Sur‘a Infi‘āl al-A‘ḍā’,ءاضعلاا لاعفنا ۃعسر
IUMT-4.1.804,"slow responsiveness
of organ",,Buṭū’ Infi‘āl al-A‘ḍā’,ءاضعلاا لاعفنا ءوطب
IUMT-4.1.805,quick heating of organ,,Sur‘a Sukhūna al-‘Uḍw,وضعلا ۃنوخس ۃعسر
IUMT-4.1.806,rapid intoxication,,Sur‘a al-Sukr,رکسلا ۃعسر
IUMT-4.1.807,"aggressiveness /
offensiveness",,Shidda al-Iqdām,مادقلاا ۃدش
IUMT-4.1.808,shamelessness,,Al-Waqāḥa,ۃحاقولا
IUMT-4.1.809,meanness,,Al-Safāla,ۃلافسلا
IUMT-4.1.810,perceptiveness,,Al-Fahm,مھفلا
IUMT-4.1.811,intelligence,,Al-Fiṭna,ۃنطفلا
IUMT-4.1.812,uneasiness,,Al-Ḍajr,رجضلا
IUMT-4.1.813,decision-making ability,,Al-Ḥazw,وزحلا
IUMT-4.1.814,activeness,,Al-Nashāṭ,طاشنلا
IUMT-4.1.815,"indolence/weakness/
sluggishness",,Al-Khumūl,لومخلا
IUMT-4.1.816,excellent behaviour,,Fuḥūliya al-Akhlāq,قلاخلاا ۃیلوحف
IUMT-4.1.817,supportive nature,,Al-Najda,ۃدجنلا
IUMT-4.1.818,cheerfulness,,Al-Bashāsha,ۃشاشبلا
IUMT-4.1.819,laziness,,Al-Kasl,لسکلا
IUMT-4.1.820,lack of laziness,,‘Adm al-Kasl,لسکلا مدع
IUMT-4.1.821,"decreased responsive-
ness of heart to fright
and fear",,"Qilla Infi‘āl al-Qalb ‘an
Asbāb al-Khawf
wa’l Faz‘","نع بلقلا لاعفنا ۃلق
عزفلا و فوخلا بابسا"
IUMT-4.1.822,"increased responsive-
ness of heart to fright
and fear",,"Kathra Infi‘āl al-Qalb ‘an
Asbāb al-Khawf
wa’l Faz‘","نع بلقلا لاعفنا ۃرثک
عزفلا و فوخلا بابسا"
IUMT-4.1.823,"quick psychic
responsiveness",,Sur‘a al-Infi‘āl,لاعفنلاا ۃعسر
IUMT-4.1.824,"persistence of psychic
response",,Thabāt al-Infi‘āl,لاعفنلاا تابث
IUMT-4.1.825,courageousness,,Al-Tahawwur,"ّ
روھتلا"
IUMT-4.1.826,cowardice,,Al-Jubn,نبجلا
IUMT-4.1.827,anger,,Al-Ghaḍab,بضغلا
IUMT-4.1.828,rigidity,"The term does not cover Jumūd mentioned
under diseases",Al-Jumūd,دومجلا
IUMT-4.1.829,mercilessness,,Al-Qasāwa,ۃواسقلا
IUMT-4.1.830,kindness,,Al-Riqqa,"ّ
ۃقرلا"
IUMT-4.1.831,dignity,,Al-Waqār,راقولا
IUMT-4.1.832,levity,,Al-Ṭaysh,شیطلا
IUMT-4.1.833,trackless wilderness,,Al-Tīh,ہیتلا
IUMT-4.1.834,feeling low,,Suqūṭ al-Nafs,سفنلا طوقس
IUMT-4.1.835,affection,,Al-Ḥubb,بحلا
IUMT-4.1.836,cheerfulness of face,,Ṭalāqa al-Wajh,ہجولا ۃقلاط
IUMT-4.1.837,prolonged adulthood,,Ṭūl al-Wuqūf,فوقولا لوط
IUMT-4.1.838,defective imagination,,I‘tilāl al-Takhayyul,لّیختلا للاتعا
IUMT-4.1.839,abnormal thinking,,I‘tilāl al-Fikr,رکفلا للاتعا
IUMT-4.1.840,defective memory,,I‘tilāl al-Dhikr,رکذلا للاتعا
IUMT-4.1.841,evil imaginings,,Al-Takhāyīl al-Fāsida,ۃدسافلا لییاختلا
IUMT-4.1.842,disturbance of thinking,,Ikhtilāl al-Fikr,رکفلا للاتخا
IUMT-4.1.843,disturbance of memory,,Ikhtilāl al-Dhikr,رکذلا للاتخا
IUMT-4.1.844,"inconsistency of
ambitions",,Iftinān al-‘Azā’im,مئازعلا نانتفا
IUMT-4.1.845,fear without reason,,"Al-Faz‘ min
Ghayr Sabab",ببس ریغ نم عزفلا
IUMT-4.1.846,dumbness,,Kharas,سرخ
IUMT-4.1.847,overthinking,,Al-Afkār,راکفلاا
IUMT-4.1.848,good opinion,,Ḥusn al-Ẓann,نظلا نسح
IUMT-4.1.849,low/defective opinion,,Sū’ al-Ẓann,نّ ظلا ءوس
IUMT-4.1.850,irrational fear,,"Khawf Umūr Ghayr
Mumkina al-Wuqū‘","�یغ روما فوخ
عوقولا ۃنکمم"
IUMT-4.1.851,fear of falling of sky,,Khawf Suqūṭ al-Samā’,ءامسلا طوقس فوخ
IUMT-4.1.852,"fear of sinking into
ground",,Khawf Ibtilā‘ al-Arḍ,ضرلاا علاتبا فوخ
IUMT-4.1.853,fear of ruler,,Khawf al-Sulṭān,ناطلسلا فوخ
IUMT-4.1.854,fear of thieves,,Khawf al-Luṣūṣ,صوصللا فوخ
IUMT-4.1.855,fascination with death,,Ḥubb al-Mawt,توملا بح
IUMT-4.1.856,fear of death,,Bughḍ al-Mawt,توملا ضغب
IUMT-4.1.857,excessive thinking,,Ifrāṭ al-Fikra,ۃرکفلا طارفا
IUMT-4.1.858,"continuous disturbed
state of mind",,Dawām al-Waswās,ساوسولا ماود
IUMT-4.1.859,"staring at one object for
a long time",,"Al-Naẓar al-Dā’im ila’l
Shay’ al-Wāḥid","یلا مئادلا رظنلا
دحاولا ئیشلا"
IUMT-4.1.860,"staring at ground for
a long time",,"Al-Naẓar al-Dā’im
ila’l Arḍ",ضرلاا یلا مئادلا رظنلا
IUMT-4.1.861,"sleeplessness before
occurrence of disease",,Taqaddum al-Sahar,رھسلا مدّ قت
IUMT-4.1.862,"overthinking before
incidence",,Taqaddum al-Fikr,رکفلا مدقت
IUMT-4.1.863,beastly behaviour,,Al-Akhlāq al-Sab‘iyya,ۃیعبسلا قلاخلاا
IUMT-4.1.864,"drawing inferences
from dreams",,"Al-Istidlāl
mina’l Manāmāt",تامانملا نم للادتسلاا
IUMT-4.1.865,dream about hot things,,"Takhayyul al-Ashyā’
al-Ḥārra",ۃرّ احلا ءایشلاا لیخت
IUMT-4.1.866,dream about fire,,Takhayyul al-Nīrān,نارینلا لّیخت
IUMT-4.1.867,dream about burning,,Takhayyul al-Ḥarīq,قیرحلا لّیخت
IUMT-4.1.868,dream about cold things,,"Takhayyul al-Ashyā’
al-Bārida",ۃدرابلا ءایشلاا لّیخت
IUMT-4.1.869,dream about water,,Takhayyul al-Miyāh,ہایملا لّیخت
IUMT-4.1.870,dream about hailstorm,,Takhayyul al-Thulūj,جولثلا لّیخت
IUMT-4.1.871,"symptoms of balanced
temperament",,"‘Alāmāt al-Mu‘tadil
al-Mizāj",جازملا لدتعملا تاملاع
IUMT-4.1.872,"moderate temperature
on touch",,"I‘tidāl al-Malmas fi’l Ḥarr
wa’l Bard","رحلا یف سململا لادتعا
دربلا و"
IUMT-4.1.873,"moderately dry and
moist to touch",,"I‘tidāl al-Malmas fi’l
Yubūsa wa’l Ruṭūba","ف
� سململا لادتعا
ۃبوطرلا و ۃسوبیلا"
IUMT-4.1.874,"moderate texture
on touch",,"I‘tidāl al-Malmas fi’l Līn
wa’l Ṣalāba","ف
ف
�یللا � سململا لادتعا
ۃبلاصلا و"
IUMT-4.1.875,"moderate/ normal
colour of skin","With respect to race, heredity and geography","I‘tidāl al-Lawn fi’l Bayāḍ
wa’l Ḥumra","ضایبلا یف نوللا لادتعا
ۃرمحلا و"
IUMT-4.1.876,"moderate structure
of organs",,I‘tidāl Khalq al-A‘ḍā’,ءاضعلاا قلخ لادتعا
IUMT-4.1.877,"moderate appearance in
terms of build of body",,"I‘tidāl al-Saḥna fi’l Siman
wa’l Qaḍāfa","ف
نمسلا � ۃنحسلا لادتعا
ۃفاضقلا و"
IUMT-4.1.878,fatness/ plumpness,,Siman,نمس
IUMT-4.1.879,emaciation,,Qaḍāfa,ۃفاضق
IUMT-4.1.880,"moderately prominent
veins",,"I‘tidāl al-‘Urūq bayn
al-Ghā’ira wa’l Bāriza","ۃرئاغلا نیب قورعلا لادتعا
ۃزرابلا و"
IUMT-4.1.881,"moderate appearance of
vessels in terms of
thickness and thinness",,"I‘tidāl al-‘Urūq bayn
al-Ghilẓa wa’l Diqqa","ف
�یب قورعلا لادتعا
ۃقدلاو ۃظلغلا"
IUMT-4.1.882,"moderate hair in terms
of volume and length",,"I‘tidāl al-Sha‘r fi’l Zabab
wa’l Dhu‘r","یف رعشلا لادتعا
رعذلا و ببزلا"
IUMT-4.1.883,"moderate hair in curliness
and straightness",,"I‘tidāl al-Sha‘r fi’l Ju‘ūda
wa’l Subūṭa","ف
ۃدوعجلا � رعشلا لادتعا
ۃطوبسلا و"
IUMT-4.1.884,"moderate state of sleep
and wakefulness",,"I‘tidāl Ḥāl al-Nawm
wa’l Yaqẓa",ۃظقیلا و مونلا لاح لادتعا
IUMT-4.1.885,"coordinated movements
of organs",,"Muwātāt al-A‘ḍā’ fī
Ḥarakātihā wa
Salāsatihā","یف ءاضعلاا ۃاتاوم
اھتسلاسو اھتاکرح"
IUMT-4.1.886,sweet organized dreams,,"Al-Aḥlām al-Ḥasana
al-Muntaẓima
al-Ladhīdha","ۃنسحلا ملاحلاا
ۃذیذللا ۃمظتنملا"
IUMT-4.1.887,confusing dreams,,"Al-Aḥlām al-
Mushawwisha","ّ
ۃشوشملا ملاحلاا"
IUMT-4.1.888,moderate appetite,,I‘tidāl Shahwa al-Ṭa‘ām,ماعطلا ۃوھش لادتعا
IUMT-4.1.889,efficient growth,,Jawda al-Numū,ومنلا ۃدوج
IUMT-4.1.890,"rapid growth and
development of body",,Sur‘a al-Numū,ومنلا ۃعسر
IUMT-4.1.891,"efficient elimination of
bodily wastes",,Jawda Nafḍ al-Fuḍūl,لوضفلا ضفن ۃدوج
IUMT-4.1.892,"moderate elimination of
bodily wastes",,"I‘tidāl al-Nafḍ fi’l Kayf
wa’l Kamm","یف ضفنلا لادتعا
مّ کلاو فیکلا"
IUMT-4.1.893,"sharpness of imagination,
thinking and memory",,"Quwwa al-Takhayyul
wa’l Tafakkur wa’l
Tadhakkur","رکّ فتلا و لّیختلا ۃوق
رکّ ذتلا و"
IUMT-4.1.894,balanced behaviour,,"Al-Tawassuṭ mina’l
Akhlāq bayn al-Ifrāṭ
wa’l Tafrīṭ","نیب قلاخلاا نم طسوتلا
طیرفتلا و طارفلاا"
IUMT-4.1.895,"moderate behaviour in
terms of cruelty
and gentleness",,"Al-I‘tidāl bayn al-
Qasāwa wa’l Riqqa","ف
�یب لادتعلاا
ّ
ۃقرلاو ۃواسقلا"
IUMT-4.1.896,"inference from abnormal
temperament",,"Al-Istidlāl ‘ala’l Mizāj
al-‘Arḍī","یلع للادتسلاا
یضرعلا جازملا"
